FirstName,LastName,Team,Position,SalaryBase ($),SalaryGuaranteed ($)
Luis,Abram,Atlanta United,D,556364.0,695977.0
Lalas,Abubakar,Colorado Rapids,D,665000.0,702125.0
Nicolás,Acevedo,New York City FC,D-M,230000.0,274800.0
Alonso,Aceves,Chicago Fire,D,330000.0,368900.0
Ifunanyachi,Achara,Houston Dynamo,F,85444.0,85444.0
Kellyn,Acosta,LAFC,D-M,1250000.0,1365000.0
Bryan,Acosta,Portland Timbers,M,675000.0,731667.0
Luciano,Acosta,Cincinnati,M-F,1943500.0,2222854.0
Sam,Adekugbe,Vancouver Whitecaps,D,729516.0,817516.0
Samuel,Adeniran,St. Louis City SC,F,85444.0,85444.0
Harrison,Afful,Charlotte,D,85444.0,85444.0
Stephen,Afrifa,Sporting Kansas City,F,67360.0,67360.0
Willy,Agada,Sporting Kansas City,F,225000.0,271875.0
London,Aghedo,Cincinnati,D,67360.0,67360.0
Oskar,Agren,San Jose Earthquakes,D,85444.0,85444.0
Daniel,Aguirre,LA Galaxy,M,85444.0,85444.0
Patrick,Agyemang,Charlotte,F,67360.0,67360.0
Ali,Ahmed,Vancouver Whitecaps,M,85444.0,94819.0
Carlos,Akapo,San Jose Earthquakes,D,525000.0,570111.0
Matai,Akinmboni,DC United,D,67360.0,76860.0
Ayo,Akinola,San Jose Earthquakes,F,700000.0,771875.0
Joey,Akpunonu,Cincinnati,D,67360.0,69860.0
Jordi,Alba,Inter Miami,D,1000000.0,1250000.0
Caio,Alexandre Souza e Silva,Vancouver Whitecaps,M,500000.0,562500.0
Tony,Alfaro,LA Galaxy,D,120000.0,120000.0
Ibrahim,Aliyu,Houston Dynamo,F,425004.0,476383.0
Noah,Allen,Inter Miami,D,67360.0,67360.0
Rasmus,Alm,St. Louis City SC,M,220000.0,284425.0
Thiago,Almada,Atlanta United,M-F,1650000.0,2332000.0
Osvaldo,Alonso,Atlanta United,D-M,88200.0,88200.0
Jozy,Altidore,Major League Soccer,F,2381139.0,2939963.0
Fernando,Álvarez,CF Montreal,D,85444.0,117444.0
Leonardo,Alves Chú Franco,Seattle Sounders FC,M,550000.0,550000.0
Max,Alves da Silva,Colorado Rapids,M-F,232000.0,313360.0
Antony,Alves Santos,Portland Timbers,M,425000.0,490042.0
Frankie,Amaya,New York Red Bulls,M-F,350000.0,406406.0
Kemy,Amiche,Nashville SC,M,67360.0,67360.0
Malte,Amundsen,Columbus Crew,D,300000.0,338700.0
Max,Anchor,Vancouver Whitecaps,GK,67360.0,74802.0
Sebastian,Anderson,Colorado Rapids,D,120000.0,121667.0
Iván,Angulo,Orlando City SC,M,348000.0,380660.0
Marco,Angulo,Cincinnati,D-M,275000.0,323000.0
Eugene,Ansah,FC Dallas,M,200000.0,302833.0
Themi,Antonoglou,Toronto FC,D,68775.0,72880.0
Tah,Anunga,Nashville SC,M,250000.0,270000.0
César,Araújo,Orlando City SC,D-M,255000.0,294000.0
Héber,Araújo dos Santos,Seattle Sounders FC,F,930000.0,1019000.0
Cristian,Arango,Real Salt Lake,F,1899996.0,2088746.0
Miguel,Araujo,Portland Timbers,D,525000.0,680313.0
Scott,Arfield,Charlotte,M,400000.0,437500.0
Max,Arfsten,Columbus Crew,M,67360.0,69205.0
Santiago,Arias,Cincinnati,D,550000.0,611354.0
Adam,Armour,Major League Soccer,D,85444.0,85444.0
Xavier,Arreaga,Seattle Sounders FC,D,750000.0,750000.0
Kervin,Arriaga,Minnesota United,D-M,170000.0,189667.0
Paul,Arriola,FC Dallas,M,1550000.0,1729400.0
Dixon,Arroyo,Inter Miami,D-M,150000.0,297708.0
Yamil,Asad,DC United,M,100000.0,100000.0
Charlie,Asensio,Austin FC,D,68775.0,68775.0
Thor,Úlfarsson,Houston Dynamo,M-F,85444.0,97643.0
Dairon,Asprilla,Portland Timbers,M,365000.0,377500.0
Jean-Aniel,Assi,CF Montreal,M,85444.0,94749.0
Josh,Atencio,Seattle Sounders FC,D-M,92400.0,96762.0
Julián,Aude,LA Galaxy,D,275000.0,285000.0
Charles,Auguste,Houston Dynamo,M,67360.0,71110.0
Beto,Avila,Houston Dynamo,F,67360.0,67360.0
Tomás,Avilés,Inter Miami,D,360000.0,387500.0
David,Ayala,Portland Timbers,D-M,375000.0,496000.0
Edison,Azcona,Inter Miami,M,85444.0,85444.0
Roman,Bürki,St. Louis City SC,GK,1500000.0,1632469.0
Talles Magno,Bacelar Martins,New York City FC,M,950000.0,1198000.0
Dominique,Badji,Cincinnati,F,550000.0,605000.0
Drew,Baiera,New York City FC,D,67360.0,73296.0
Corey,Baird,Houston Dynamo,F,550000.0,581031.0
Esmir,Bajraktarevic,New England Revolution,M,85444.0,91367.0
Cody,Baker,Seattle Sounders FC,D,67360.0,73064.0
Reed,Baker-Whiting,Seattle Sounders FC,M,85444.0,105444.0
Monsef,Bakrar,New York City FC,F,336000.0,432720.0
Michael,Baldisimo,San Jose Earthquakes,D-M,85444.0,85444.0
Esequiel,Barco,Atlanta United,M,2200000.0,2200000.0
Tai,Baribo,Philadelphia Union,F,600000.0,710000.0
Tom,Barlow,New York Red Bulls,F,195000.0,206625.0
Luis,Barraza,New York City FC,GK,145000.0,152688.0
Álvaro,Barreal,Cincinnati,M,300000.0,519297.0
Michael,Barrios,LA Galaxy,M,650000.0,680000.0
Lucas,Bartlett,St. Louis City SC,D,85444.0,85444.0
Ethan,Bartlow,Houston Dynamo,D,125000.0,135000.0
Cole,Bassett,Colorado Rapids,M-F,450000.0,450000.0
Amine,Bassi,Houston Dynamo,M-F,550000.0,550000.0
Josh,Bauer,Nashville SC,D,89716.0,89716.0
Tanner,Beason,San Jose Earthquakes,D,250000.0,250000.0
Gavin,Beavers,Real Salt Lake,GK,85444.0,91027.0
Simon,Becher,Vancouver Whitecaps,F,67360.0,70485.0
Alejandro,Bedoya,Philadelphia Union,M,780000.0,1060000.0
Steven,Beitashour,Colorado Rapids,D,150000.0,172500.0
Jon,Bell,St. Louis City SC,D,88200.0,88200.0
Nico,Benalcázar,New York City FC,D,68775.0,68775.0
Ben,Bender,Charlotte,M,85444.0,105444.0
Joe,Bendik,Philadelphia Union,GK,175000.0,192500.0
Julio,Benitez,Real Salt Lake,D-M,85444.0,95069.0
Christian,Benteke,DC United,F,4250000.0,4432778.0
Nimfasha,Berchimas,Charlotte,M,67360.0,82294.0
Sebastian,Berhalter,Vancouver Whitecaps,M,150000.0,160250.0
Federico,Bernardeschi,Toronto FC,M,3125000.0,6295381.0
Miguel,Berry,Atlanta United,F,135000.0,135000.0
Matt,Bersano,Austin FC,GK,125000.0,132500.0
Victor,Bezerra,Chicago Fire,F,85444.0,97905.0
David,Bingham,Portland Timbers,GK,85444.0,85444.0
Steve,Birnbaum,DC United,D,815000.0,815000.0
Stipe,Biuk,LAFC,M,650000.0,650000.0
Tristan,Blackmon,Vancouver Whitecaps,D,400000.0,451208.0
Andre,Blake,Philadelphia Union,GK,775000.0,894375.0
Sebastián,Blanco,Portland Timbers,M-F,1380000.0,1748000.0
Latif,Blessing,Toronto FC,M-F,600000.0,665000.0
Njabulo,Blom,St. Louis City SC,D-M,246000.0,338250.0
Emmanuel,Boateng,New England Revolution,M,85444.0,95784.0
Isaac,Boehmer,Vancouver Whitecaps,GK,68775.0,68775.0
Mateusz,Bogusz,LAFC,M-F,650000.0,650000.0
Franck,Boli,Portland Timbers,F,450000.0,532000.0
Josh,Bolma,New England Revolution,M,67360.0,74027.0
Moïse,Bombito,Colorado Rapids,D,67360.0,85572.0
Jonathan,Bond,LA Galaxy,GK,475000.0,525833.0
Pablo,Bonilla,Major League Soccer,D,135000.0,147667.0
Alex,Bono,DC United,GK,85444.0,105444.0
Shanyder,Borgelin,Inter Miami,F,67360.0,69860.0
Dylan,Borrero,New England Revolution,M,575000.0,638962.0
Gustavo,Bou,New England Revolution,F,2500000.0,2675000.0
Denis,Bouanga,LAFC,M,2083333.0,2472222.0
Ousseni,Bouda,San Jose Earthquakes,M,100000.0,112500.0
Aaron,Boupendza,Cincinnati,F,720000.0,1127600.0
Michael,Boxall,Minnesota United,D,650000.0,703097.0
Tyler,Boyd,LA Galaxy,M,275000.0,350000.0
Michael,Bradley,Toronto FC,M,614286.0,614286.0
Chris,Brady,Chicago Fire,GK,189996.0,213246.0
Zachary,Brault-Guillard,CF Montreal,D,275000.0,319375.0
Claudio,Bravo,Portland Timbers,D,315000.0,371654.0
Ethan,Bristow,Minnesota United,D,85444.0,136630.0
Andrew,Brody,Real Salt Lake,D,250000.0,275678.0
Brandt,Bronico,Charlotte,M,310000.0,348375.0
Javain,Brown,Vancouver Whitecaps,D,140000.0,153688.0
Gastón,Brugman,LA Galaxy,D-M,1200000.0,1409000.0
Will,Bruin,Austin FC,F,200000.0,200000.0
Noel,Buck,New England Revolution,M,67360.0,67360.0
Jesús,Bueno,Philadelphia Union,D-M,170000.0,185378.0
Teal,Bunbury,Nashville SC,F,425000.0,469167.0
Nkosi Tafari,Burgess,FC Dallas,D,240750.0,240750.0
Cory,Burke,New York Red Bulls,F,500000.0,571871.0
Kendall,Burks,Chicago Fire,D,88200.0,88200.0
Evan,Bush,Columbus Crew,GK,88200.0,88200.0
Sergio,Busquets,Inter Miami,D-M,1500000.0,1775000.0
Brandon,Bye,New England Revolution,D,350000.0,368813.0
Nathan,Byrne,Charlotte,D,560000.0,607833.0
Martín,Cáceres,LA Galaxy,D,500004.0,556671.0
Jorge,Cabezas,New York Red Bulls,F,85444.0,85444.0
Kévin,Cabral,Colorado Rapids,M,1800000.0,1800000.0
Déiber,Caicedo,Vancouver Whitecaps,M,350000.0,381125.0
Luis,Caicedo,Houston Dynamo,D-M,110000.0,110000.0
Scott,Caldwell,Real Salt Lake,M,225000.0,230000.0
Lucas Felipe,Calegari,LA Galaxy,D,550000.0,611564.0
Noel,Caliskan,Portland Timbers,M,67360.0,67360.0
Drake,Callender,Inter Miami,GK,300000.0,355917.0
Rudy,Camacho,Columbus Crew,D,500000.0,554000.0
Brandon,Cambridge,Charlotte,M,67360.0,75386.0
Matteo,Campagna,Vancouver Whitecaps,D,85444.0,94456.0
Leonardo,Campana,Inter Miami,F,549996.0,672329.0
George,Campbell,CF Montreal,D,325000.0,365625.0
Russell,Canouse,DC United,M,575000.0,575000.0
Wikelman,Carmona,New York Red Bulls,M-F,85444.0,88194.0
Julián,Carranza,Philadelphia Union,F,950000.0,950000.0
Adalberto,Carrasquilla,Houston Dynamo,M,500000.0,550224.0
Antonio,Carrera,FC Dallas,GK,85444.0,104963.0
Máximo,Carrizo,New York City FC,M-F,67360.0,111597.0
Wilder,Cartagena,Orlando City SC,D-M,348000.0,388250.0
Javier,Casas,Chicago Fire,M,85444.0,87344.0
Julio,Cascante,Austin FC,D,620000.0,693750.0
Robert,Castellanos,Sporting Kansas City,D,85444.0,85444.0
Jacob,Castro,Seattle Sounders FC,GK,67360.0,67360.0
Roman,Celentano,Cincinnati,GK,100000.0,149000.0
Erik,Centeno,Atlanta United,D,67360.0,79136.0
Edwin,Cerrillo,LA Galaxy,D-M,149500.0,164500.0
Daniel,Chacón,Colorado Rapids,D,67360.0,75110.0
Tomás,Chancalay,New England Revolution,M,666250.0,726250.0
Maikel,Chang,Real Salt Lake,M,170000.0,193750.0
Diego,Chará,Portland Timbers,M,650000.0,658333.0
Yimmi,Chará,Portland Timbers,M,1500000.0,1803000.0
Yevgen,Cheberko,Columbus Crew,D,370000.0,418250.0
Giorgio,Chiellini,LAFC,D,1000000.0,1075000.0
Mathieu,Choinière,CF Montreal,M,250000.0,276667.0
Machop,Chol,Atlanta United,M,89716.0,89716.0
Cam,Cilley,San Jose Earthquakes,M,67360.0,67360.0
Ozzie,Cisneros,Sporting Kansas City,M-F,85444.0,88444.0
Abdoulaye,Cissoko,Seattle Sounders FC,D,85444.0,85444.0
Steve,Clark,Houston Dynamo,GK,560000.0,619281.0
Stefan,Cleveland,Seattle Sounders FC,GK,200000.0,217500.0
Noah,Cobb,Atlanta United,D,67360.0,67360.0
Alonso,Coello,Toronto FC,D-M,67360.0,71693.0
Jackson,Conway,Atlanta United,F,89716.0,89716.0
Enzo,Copetti,Charlotte,F,1000000.0,1142250.0
Gabriele,Corbo,CF Montreal,D,216350.0,216350.0
Gabriel,Cordeiro Pirani,DC United,M,530000.0,596700.0
Carlos,Coronel,New York Red Bulls,GK,490000.0,539649.0
Guzmán,Corujo,Charlotte,D,625000.0,658500.0
Douglas,Costa,LA Galaxy,M,3000000.0,4508333.0
Séga,Coulibaly,Major League Soccer,D,480000.0,517000.0
Cade,Cowell,San Jose Earthquakes,M,600000.0,689909.0
Maxime,Crépeau,LAFC,GK,350000.0,377500.0
Brandan,Craig,Philadelphia Union,D,115000.0,127825.0
Michael,Creek,St. Louis City SC,GK,85444.0,85444.0
Benja,Cremaschi,Inter Miami,M,67360.0,69360.0
Danny,Crisostomo,LAFC,D-M,85444.0,85444.0
Andrés,Cubas,Vancouver Whitecaps,D-M,1050000.0,1146375.0
Mauricio,Cuevas,LA Galaxy,D,100000.0,118500.0
Braian,Cufré,New York City FC,D,672000.0,757800.0
Antônio Carlos,Cunha Capocasali Junior,Orlando City SC,D,900000.0,925000.0
Rafael,Czichos,Chicago Fire,D,1300000.0,1336667.0
Evander,da Silva Ferreira,Portland Timbers,M,1885000.0,2230000.0
Luis,Díaz,Colorado Rapids,M,500000.0,533900.0
Cristian,Dájome,DC United,M,900000.0,965625.0
Bajung,Darboe,LAFC,M,67360.0,79740.0
Éric,Davis,DC United,D,180000.0,212500.0
Sean,Davis,Nashville SC,M,825000.0,939000.0
Jake,Davis,Sporting Kansas City,D,85444.0,85444.0
Ocimar,de Almeida Júnior,Orlando City SC,M,360000.0,360000.0
Thiago Eduardo,de Andrade,New York City FC,M,200000.0,219600.0
Geovane,de Jesus Rocha,FC Dallas,D,250000.0,297000.0
José Artur,de Lima Júnior,Houston Dynamo,D-M,600000.0,651633.0
Gregore,de Magalhães da Silva,Inter Miami,D-M,725000.0,961250.0
Daniel,de Sousa Britto,San Jose Earthquakes,GK,400000.0,400000.0
Jonathan,Dean,Chicago Fire,D,85444.0,93611.0
Brecht,Dejaegere,Charlotte,M,820000.0,999375.0
Mark,Delgado,LA Galaxy,M,750000.0,826250.0
Nick,DePuy,Nashville SC,D,252000.0,252000.0
Bakaye,Dibassy,Minnesota United,D,600000.0,661250.0
Eric,Dick,Minnesota United,GK,85444.0,85444.0
Adama,Diomande,Toronto FC,F,525000.0,585000.0
Hamady,Diop,Charlotte,D,67360.0,74860.0
Clément,Diop,Atlanta United,GK,85444.0,85444.0
Sofiane,Djeffal,Austin FC,M,75325.0,75325.0
Moussa,Djitté,Austin FC,F,600000.0,600000.0
Ethan,Dobbelaere,Seattle Sounders FC,M,104000.0,118000.0
Ronald,Donkor,New York Red Bulls,M,120000.0,145400.0
Chris,Donovan,Philadelphia Union,F,68775.0,68775.0
Griffin,Dorsey,Houston Dynamo,D,150000.0,165000.0
CJ,dos Santos,Inter Miami,GK,67360.0,72660.0
Micael,dos Santos Silva,Houston Dynamo,D,120000.0,134250.0
Hassani,Dotson,Minnesota United,M,450000.0,507500.0
Ousmane,Doumbia,Chicago Fire,D-M,420000.0,564000.0
Sebastián,Driussi,Austin FC,M-F,3800000.0,6022500.0
Érik,Dueñas,LAFC,M,125000.0,127000.0
Cameron,Duke,Sporting Kansas City,M,137500.0,140500.0
Bryce,Duke,CF Montreal,M,150000.0,231875.0
Cameron,Dunbar,Minnesota United,M,165000.0,181750.0
Kyle,Duncan,New York Red Bulls,D,500000.0,555750.0
Chris,Durkin,DC United,D-M,425000.0,481250.0
Dom,Dwyer,Major League Soccer,F,85444.0,85444.0
Jeremy,Ebobisse,San Jose Earthquakes,F,763980.0,909863.0
Daniel,Edelman,New York Red Bulls,D-M,85444.0,93026.0
Raheem,Edwards,LA Galaxy,D,315000.0,347500.0
Michael,Edwards,Colorado Rapids,D,125000.0,125000.0
Earl,Edwards Jr.,New England Revolution,GK,125000.0,125000.0
Jack,Elliott,Philadelphia Union,D,750000.0,843750.0
Fred,Emmings,Minnesota United,GK,85444.0,91444.0
Herbert,Endeley,FC Dallas,D,67360.0,67360.0
Emeka,Eneli,Real Salt Lake,D,67360.0,67360.0
Ramiro,Enrique,Orlando City SC,F,318182.0,375909.0
Franco,Escobar,Houston Dynamo,D,475000.0,524167.0
Cristian,Espinoza,San Jose Earthquakes,M,1150000.0,1265000.0
Róger,Espinoza,Sporting Kansas City,M,85444.0,85444.0
Bento,Estrela,New York Red Bulls,M,85444.0,109444.0
Derrick,Etienne Jr.,Atlanta United,M,676250.0,676250.0
Diego,Fagúndez,LA Galaxy,M,1000000.0,1060000.0
José,Fajardo,DC United,F,240000.0,269500.0
Mamadou,Fall,LAFC,D,149000.0,161750.0
Facundo,Farías,Inter Miami,M-F,500000.0,525000.0
Marco,Farfán,FC Dallas,D,425000.0,457813.0
Zack,Farnsworth,Real Salt Lake,D,115000.0,129750.0
Andrew,Farrell,New England Revolution,D,651250.0,651250.0
Mohamed,Farsi,Columbus Crew,D,67360.0,74735.0
Lucas Maciel,Felix,New England Revolution,M,85444.0,85444.0
Marcus,Ferkranus,LA Galaxy,D,125000.0,138625.0
Julián,Fernández,New York City FC,M,540000.0,604300.0
Omir,Fernandez,New York Red Bulls,M,161000.0,173000.0
Jesús,Ferreira,FC Dallas,F,1650000.0,1852000.0
Sebastián,Ferreira,Houston Dynamo,F,1760000.0,2130200.0
Ethan,Finlay,Austin FC,M,425000.0,425000.0
Leon,Flach,Philadelphia Union,M,280000.0,294500.0
Kristian,Fletcher,DC United,M,85444.0,104953.0
Danny,Flores,Sporting Kansas City,M,67360.0,67360.0
CJ,Fodrey,Austin FC,M,67360.0,69360.0
Andreu,Fontàs,Sporting Kansas City,D,450000.0,450000.0
Kortne,Ford,Sporting Kansas City,D,165000.0,170000.0
Ajani,Fortune,Atlanta United,M,67360.0,67360.0
Isaiah,Foster,Cincinnati,D,85444.0,89823.0
Franco,Fragapane,Minnesota United,M,260000.0,267500.0
Iván,Franco,Houston Dynamo,M,335000.0,384250.0
Kobe,Franklin,Toronto FC,D,67360.0,78162.0
Liam,Fraser,FC Dallas,D-M,130000.0,157750.0
Ian,Fray,Inter Miami,D,110000.0,110000.0
Alex,Freeman,Orlando City SC,D,67360.0,71360.0
Tyler,Freeman,Nashville SC,F,67360.0,67360.0
Matt,Freese,New York City FC,GK,161250.0,180000.0
Stefan,Frei,Seattle Sounders FC,GK,650000.0,650000.0
Diego,Gómez,Inter Miami,M,500000.0,504167.0
Tomás,Gómez,Real Salt Lake,GK,85444.0,85444.0
Carlos Andrés,Gómez,Real Salt Lake,M,220000.0,252000.0
